Attach;Comp;Global;Health;Control;MetaCog;Others;Hopeless;OthViews;UttEnum
0;3;0;0;0;0;0;0;0;2594
0;1;2;1;0;0;0;1;0;1600
3;0;0;0;0;0;0;0;0;1924
0;0;0;0;0;0;0;0;0;601
0;0;0;0;3;0;0;0;0;4409
0;1;3;0;0;0;0;0;0;3554
0;3;0;0;0;0;0;0;3;2484
3;0;0;0;0;0;0;0;2;5215
0;3;0;0;0;0;0;0;0;1228
1;0;0;0;0;0;0;0;0;4464
3;0;0;0;0;0;0;0;0;3661
3;0;0;0;0;0;0;0;2;2670
3;0;0;0;0;0;0;2;0;446
0;0;0;0;0;0;0;0;0;5592
0;0;0;0;0;0;0;0;3;5648
0;0;2;0;0;0;0;0;0;678
3;0;0;0;0;0;0;2;0;2693
0;0;0;3;0;0;0;3;0;387
3;0;0;0;0;0;0;2;0;5432
1;0;0;0;0;0;0;0;3;2095
0;0;0;0;0;0;0;0;0;255
0;0;0;3;0;0;0;0;0;1868
2;0;0;0;0;0;0;0;3;138
0;2;0;0;0;1;0;0;0;3584
0;3;0;0;0;0;0;0;0;5497
0;3;0;0;0;0;0;0;0;3255
0;1;0;0;0;0;0;0;0;3759
0;3;0;0;0;0;0;0;0;3803
0;3;0;0;0;0;0;0;0;1967
0;3;0;0;0;0;0;0;0;5454
0;0;0;0;0;0;0;0;3;4029
0;0;0;3;0;0;0;0;0;2456
0;3;0;0;0;0;0;0;0;4077
0;3;2;0;0;1;0;0;0;3241
0;0;0;0;3;0;0;0;0;3276
0;0;3;0;0;0;0;0;0;3994
0;2;1;0;0;0;0;0;0;1343
3;0;0;0;0;0;0;0;0;1877
3;0;0;0;0;0;0;1;0;3676
0;2;2;0;0;0;0;0;0;1606
1;0;0;0;1;0;0;0;0;1800
0;0;0;0;2;0;0;0;2;3939
0;3;0;0;0;0;0;0;0;5502
0;0;0;0;1;0;0;0;0;938
0;3;0;0;0;0;0;0;0;2372
0;1;3;0;0;0;0;0;0;3991
2;0;0;0;0;0;0;1;0;254
0;0;3;0;0;0;0;0;0;1900
0;3;0;0;0;0;0;0;0;4214
0;0;1;0;0;0;0;0;2;4712
0;0;0;0;0;0;0;0;3;2723
3;0;0;0;1;0;0;0;0;1507
0;0;0;3;0;0;0;1;0;4194
1;0;0;0;0;0;0;0;0;3318
0;3;0;0;1;0;0;0;0;1364
0;0;2;0;0;0;0;0;0;1017
0;3;1;0;0;0;0;0;0;4360
0;0;0;0;0;0;0;0;0;1849
0;0;1;0;0;0;0;0;0;4761
2;0;0;0;1;0;0;0;0;2913
0;3;0;0;0;0;0;0;0;2802
0;0;0;3;0;0;0;1;0;2901
0;0;0;0;0;0;0;0;1;5713
0;3;0;0;0;0;0;0;0;3644
0;3;0;0;0;0;0;0;0;4298
2;0;1;0;1;0;1;0;0;4690
0;3;0;0;0;0;0;0;0;5237
1;0;0;0;0;0;0;0;0;3941
1;0;0;0;0;0;0;0;0;3769
0;0;0;0;1;0;0;0;0;4456
0;0;0;0;0;0;0;0;0;4626
0;0;3;0;0;0;0;0;0;3168
2;2;0;0;0;0;0;0;0;4036
3;0;0;0;0;0;0;0;0;3467
3;0;0;0;0;0;1;0;0;3809
0;1;0;0;1;0;0;0;0;1610
0;0;0;0;0;0;0;2;0;4410
0;0;0;0;0;0;0;0;0;1979
0;0;0;0;0;0;0;0;0;5717
0;0;0;0;1;0;0;0;0;246
0;0;3;0;0;0;0;0;0;3162
0;0;0;1;1;0;0;0;0;70
0;3;0;0;0;0;0;0;0;4384
3;0;0;0;1;0;0;1;2;2716
1;0;0;0;0;0;0;0;0;1348
0;3;3;0;0;0;0;1;0;3807
3;0;0;0;0;0;0;0;0;4344
0;0;0;0;0;0;0;0;3;1625
0;0;0;0;0;0;0;0;0;1406
0;3;1;0;0;0;0;0;0;2306
3;0;2;0;0;0;0;0;0;4680
0;0;0;0;0;0;0;0;3;1400
0;0;3;0;0;0;0;0;0;3509
0;0;3;0;0;0;0;0;0;1656
0;0;0;0;0;0;0;0;0;165
0;0;0;0;0;0;0;0;3;5426
0;0;3;0;0;0;0;0;0;2727
0;2;0;0;0;0;0;1;0;3733
2;0;0;0;0;0;0;0;0;4242
0;0;0;0;0;0;0;0;3;5481
0;0;0;0;0;0;0;0;3;3635
0;0;0;0;0;0;0;0;0;475
2;0;0;0;0;0;0;0;2;691
0;1;0;0;0;0;0;0;0;57
