Duration;Gender;Age;TRexperience;Device
1554;1;28;1;3
3875;2;34;0;4
6504;1;34;0;3
861;2;24;1;3
2098;2;28;0;3
1486;2;38;0;3
2251;1;31;0;3
871;2;30;0;4
5081;2;52;0;3
4933;1;62;0;4
2764;2;33;0;3
4887;1;64;0;3
1802;2;26;0;4
3405;1;38;0;1
4455;1;40;0;4
3507;2;48;0;4
2092;2;49;0;3
2028;1;55;0;3
6158;2;33;1;3
6324;1;55;0;3
2134;2;26;0;4
984;2;27;0;4
2397;1;19;0;3
3239;1;71;0;3
3355;1;22;0;3
1983;2;55;0;4
2157;2;38;1;4
1317;1;31;0;4
1937;2;26;0;4
1579;1;41;0;3
1508;1;25;0;4
2009;1;36;1;3
2154;1;71;0;4
951;1;34;0;3
2588;2;24;0;4
2520;1;57;0;4
1755;1;28;1;4
3470;2;32;0;3
3707;2;35;0;4
1254;2;26;0;4
6232;1;24;0;3
2577;2;31;0;4
2748;2;31;0;3
3021;2;45;0;3
1502;1;25;1;4
3372;2;38;0;4
2273;2;40;0;4
2063;1;31;1;3
1768;2;26;0;4
1862;2;23;0;3
2405;1;38;0;4
1681;1;31;0;3
2834;2;30;0;4
2989;2;35;0;3
3575;2;24;0;3
1450;1;31;1;4
2548;1;57;0;4
3224;1;57;0;3
987;2;25;0;4
2328;2;28;0;3
1322;2;25;0;4
1313;2;34;0;3
2444;1;24;0;4
2648;1;48;0;3
2595;1;28;0;4
2028;2;23;1;3
2041;2;35;0;4
3881;2;39;0;3
3835;1;32;0;3
2593;2;58;0;4
7090;2;41;0;3
2107;1;46;0;3
1239;2;30;0;4
2973;1;29;0;3
882;2;41;0;3
2087;2;52;0;3
2873;2;39;0;3
2333;2;27;1;3
2868;2;33;0;3
4292;1;32;0;3
1934;1;41;0;4
2411;1;62;0;4
2336;2;64;0;3
2354;1;31;0;3
2722;2;49;0;4
1016;1;27;0;3
3704;2;41;0;3
2010;2;49;0;4
3629;1;36;0;3
1470;2;28;0;4
6204;2;36;0;4
4577;2;30;0;4
15221;2;36;0;3
2330;1;24;0;4
2264;1;33;1;4
2502;2;26;0;3
2887;1;45;0;3
2060;1;34;0;3
2988;1;52;0;4
1974;2;56;0;4
2556;1;23;0;3
2831;1;26;0;3
988;1;26;1;4
1268;1;32;0;3
5950;1;48;0;3
3656;1;32;0;3
1780;2;22;0;3
4632;2;28;0;3
2068;2;35;0;3
3158;4;32;1;4
2627;1;46;0;3
3516;2;34;0;1
1278;2;26;0;4
3069;2;50;0;4
2255;1;30;0;4
2251;2;36;0;4
2474;2;35;0;3
3716;2;28;0;4
2696;2;23;0;3
3764;2;36;0;4
2435;1;29;0;3
3141;2;39;0;4
3137;1;25;0;3
1768;1;51;0;4
957;2;31;0;4
4794;2;42;1;4
2822;1;33;1;4
1841;2;47;0;4
2636;1;27;0;4
3558;1;42;0;3
3141;2;47;0;1
1324;2;33;0;4
1448;1;26;0;4
1265;2;39;0;3
3675;2;31;0;4
3719;1;33;0;3
1540;2;28;0;4
2398;2;28;0;3
3009;2;58;0;3
853;1;38;0;3
1872;1;24;0;4
1774;1;34;1;4
2881;2;35;1;3
3189;1;43;0;3
1919;1;29;0;3
5266;2;32;0;4
4217;2;36;0;4
3760;2;31;0;4
3430;2;63;0;3
2864;1;59;0;4
3311;1;50;0;3
2863;1;45;1;3
1500;2;28;0;4
3065;1;28;1;4
1449;2;27;0;3
1813;1;41;0;4
1403;2;31;0;3
2232;1;35;0;3
660;2;29;0;3
2529;2;25;0;3
2629;2;35;0;4
2045;1;36;0;3
2956;1;43;0;4
1112;1;22;0;4
3459;1;47;1;3
3941;1;33;0;3
747;1;36;0;4
871;2;24;0;4
2166;1;27;0;3
2565;2;46;0;4
4216;1;38;1;3
1696;2;35;0;2
1592;2;45;1;4
3589;2;43;0;4
2471;1;30;0;4
1697;1;34;0;3
1823;1;31;0;4
2882;1;34;0;3
1107;2;43;0;3
786;2;19;0;4
2570;2;31;0;4
3563;2;24;0;4
3313;2;56;0;3
2613;2;33;0;3
1792;1;28;0;4
3684;1;44;0;3
749;2;30;0;3
2685;2;44;0;4
2133;2;28;0;3
3063;2;26;0;3
3917;2;66;1;3
1607;1;31;0;1
2668;2;31;0;4
1435;2;32;0;3
1580;1;32;0;4
1861;1;52;0;3
3458;2;35;0;4
5320;2;26;1;3
1950;2;32;0;4
1336;1;46;1;3
2185;2;45;0;3
4458;1;27;0;3
2976;1;42;1;3
875;2;29;0;4
2675;2;48;0;3
2316;2;40;0;3
2858;1;35;0;3
2812;2;35;0;4
4664;1;49;0;3
1919;1;54;0;4
3706;1;36;0;3
2986;1;64;0;3
1112;1;28;0;4
2148;1;21;0;3
2441;1;65;0;2
2496;1;30;0;3
2638;2;31;0;4
3106;2;23;0;3
5571;2;52;0;3
1710;1;49;0;4
1744;2;41;0;4
1389;2;33;0;4
2155;1;35;0;3
1722;2;27;0;3
1985;1;49;0;3
2943;1;26;0;4
2499;1;25;0;3
1978;1;43;0;4
2668;1;52;0;3
2901;1;34;0;4
3935;1;NA;0;4
2435;2;31;0;3
2321;2;33;0;4
3731;2;39;0;4
1696;2;31;0;4
2106;2;27;0;1
1409;2;44;0;3
4215;1;57;0;3
1843;2;34;0;4
3061;1;35;1;3
4820;1;60;1;4
2908;1;50;1;4
1639;1;33;0;4
1596;1;35;0;3
2118;1;49;0;4
1793;2;29;0;3
2160;2;31;0;3
1323;2;27;1;4
1156;2;31;0;4
2796;2;29;1;4
1791;1;38;0;3
2055;2;29;0;1
1737;1;55;0;4
3207;2;27;0;3
2254;1;45;0;3
6197;2;34;0;3
1659;2;26;0;3
3035;2;23;0;4
1452;2;24;0;3
1907;1;28;0;4
2406;2;29;0;4
5238;2;40;0;3
3182;2;33;0;3
1131;1;42;0;3
1275;1;42;0;4
5877;2;50;0;4
1720;2;32;1;4
1809;2;27;0;4
2037;2;60;0;4
2790;2;51;0;3
1234;2;33;0;4
2715;1;32;0;3
1556;2;23;0;4
2530;1;35;1;3
2428;2;37;0;3
1869;2;28;0;3
2443;1;33;0;3
2135;2;25;0;4
3373;1;54;0;3
2201;2;22;0;4
3066;2;34;0;3
3068;2;24;1;4
704;1;24;1;3
6989;2;40;0;3
3943;1;51;0;3
1743;1;31;0;3
2784;2;21;0;4
4372;1;26;0;3
1074;1;22;0;3
3496;1;28;0;4
2675;1;24;1;3
2557;1;21;0;3
1913;2;31;0;3
3371;1;65;0;3
2053;2;39;0;3
3364;1;33;0;3
3295;2;30;0;4
1914;2;45;0;4
3249;2;52;0;4
2814;2;35;1;3
3329;1;37;0;4
1069;1;29;0;3
2392;2;28;0;4
1835;1;29;0;2
2673;2;29;0;3
953;2;24;1;4
78013;2;43;0;4
1518;2;20;0;4
3414;1;59;0;3
2665;2;35;0;4
3154;1;67;0;3
2354;1;31;0;3
2809;1;28;0;4
1039;1;36;0;3
1894;2;32;0;4
2209;1;39;0;3
1853;1;28;0;3
4320;1;51;0;4
931;2;28;0;4
4278;2;46;0;4
