Participant.ID;PTR_Scen;scentype;;;
10126;I couldn't find my bank card and realized my husband must have taken it.;0;;0;interpersonal
10339;I quit my job in order to find one that could pay more, I had been at the job for many years and the loss of it made me feel like someone had kicked the table out from under me.;1;;1;achievement
10738;I was yelled at by the manager of another department for not following a procedure (that was actually not a part of our process).;0;;;
11518;Las week my sister and I facetime. I didnt show much interest. Later that day, my cousin told me that my sister was sad because of my behavior. ;0;;;
12239;My daughter told me what college she wanted to go to.;0;;;
13192;Threw a conniption when unable to complete an Amigurumi project for my niece.   ;1;;;
13216;At dinner my mother in law kept trying to tell me how to watch my daughter and was being condensending, I finally got angry and told her to mind her own business.;0;;;
13224;A friend of mine was pressuring me to see a movie I didn't want to see.  I tried to sheepishly get out of it but did not want to disappoint him so I just sort of agreed when I didn't want to do it.  So I ended up being miserable for two hours watching a movie I did not enjoy.;1;;;
13560;My dad has stage four lung cancer and it took a very bad turn. For a few days it looked like he would die. I spent days grieving. When he began to recover, and it was obvious that he would be coming home again, I realized that I would have to go through this emotional turmoil again when the time comes when he really approaches the end.;0;;;
14216;I was sharp with my mother. ;0;;;
14444;I was planning a bachelor party for a friend and some of the people invited were not satisfied with what I was trying to plan. ;0;;;
14603;I showed a new game idea I have to some friends I have in a chat room we all have together, but only 2 of them responded.;0;;;
15136;My spouse got a new gaming console and spends most of his free time playing video games.;0;;;
15889;Me and my 6 year old son were at the grocery store and he kept grabbing things off the shelf ignoring my requests to stop until I got very angry and yelled at him making him cry in the store.;0;;;
16205;My promotion was given to a colleague .;1;;;
16289;My mother criticized my driving.;0;;;
16846;ONE WEEK AGO, I HEARD A NEWS THAT MY FRIEND'S FATHER WAS DIED DUE TO CANCER. HE WAS AFFECTED BY CANCER BEFORE TWO YEARS AGO.HOWEVER ALL WERE KNOWN THAT HE DIED IN FEW DAYS. AT LAST HE DIED AFTER TWO YEARS. I ATTEND THE FUNERAL PARTY. ALL WERE IN LITTLE BIT OF SADNESS. I REACHED THE SPOT AND STARTED CRYING LIKE A CHILD. IN CASE I HAVE NOT EVEN SAW BEFORE. BUT I STARTED CRYING. I FEEL SAD FOR NEARLY 3 DAYS. HIS FACE COME TO MY MIND FREQUENTLY. I DON'T KNOW WHY THIS IS HAPPENED. I HAVE NEVER EXPERIENCED LIKE THIS BEFORE.;0;;;
17583;I had a disagreement about our finances with my partner at our home about a week ago that caused her to leave the apartment and not talk, call, or text me for hours. ;0;;;
17711;I'm sitting here right now irritated because my husband didn't call me on his break like he always does, and we had a fight last night.;0;;;
17793;I was given a solo for the church play.  At practice when it came time for me to sing, my voice cracked and I lost the solo.;1;;;
18228;I hit my head and went to emergency room and regret decision to go to ER;1;;;
18252;I was talking to a friend who got me angry.;0;;;
18393;I was dog sitting for my sister. The dog ate xylitol and it could cause damage to the dog. I quickly called the vet and had to make the dog throw up. Blood tests indicate that the dog will be fine. ;0;;;
18513;I was on the phone with my boyfriend and he got a call on the other line. I assumed it was another girl calling him.;0;;;
18593;I received a task in the last 30 minutes of my work day.  I was concerned that I would not have enough time to complete it.  ;1;;;
18688;My dad is in the next room in his hospice bed and im afraid of not doing everything right.;1;;;
18771;My girlfriend was sad that I wanted to go out with my friends, and started a fight.;0;;;
18773;I had a complaint against my work which I felt unnecessary to bring to my attention as it was very minor. ;1;;;
19164;My boss pointed out an unintentional error in my work.;1;;;
19393;My boyfriend made fun of me for losing a game. I got upset and we had an argument.;0;;;
19482;My spouse became verbally abusive with me. ;0;;;
